video_id,instance_id,query,short_query
CwSUSVxoqbs,2,green bird walking on the curtain rod,green bird 
CwSUSVxoqbs,3,white parrot climbing on the curtains,white parrot 
CyQpFOr4SYM,0,a brown car is jumping up and down in the street,a brown car
CyQpFOr4SYM,1,a man in dark on the left is standing,a man in dark on the left 
CyQpFOr4SYM,2,the person in black in the background is watching a car,the person in black in the background
CzjAyW44peE,0,parrot rolling on the bed,parrot
CzjAyW44peE,1,person lying on the bed,person 
D1VWmfv2fGM,0,the car is driving down a suburban street with hydraulics making it hop up and down,the car
D1VWmfv2fGM,1,truck parking by the road,truck 
D2ncXzbXhz8,0,Blue car is dancing on the road,Blue car 
D2ncXzbXhz8,1,Guy in blue standing near the car,Guy in blue
D4duIsM9ucA,0,gray dog walking on the left,gray dog on the left
D4duIsM9ucA,1,man in red top walking with a dog,man in red top
D4qLMRqICeA,0,dog crawling on the floor,dog 
D4qLMRqICeA,1,a woman in white pant is walking,a woman in white pant
D5JFd1Y1RiA,0,the basketball is thrown,the basketball
D5JFd1Y1RiA,1,man shooting a basketball,man 
D6ZVqo3mHsw,0,baby in white dress climbing on to a sofa,baby in white dress
D6bFG54eGKA,0,car rolling over,car
D76kY5QiIM4,0,a car is jumping up and down,a car 
D7Ti3aKB-Ak,0,Yellow bird climbing the arm of the couch,Yellow bird
D8FmbP3CRQE,0,Bird with red topknot walking on the ground,Bird with red topknot
D9Ko7U1pLlg,0,Baby is crawling on the floor,Baby
DAiZSTXz6Jw,0,dog running on the left,dog on the left
DAiZSTXz6Jw,1,dog running on the right,dog on the right
DCvnnSZCeCY,0,Gray cat is running towards a toy,Gray cat
DDZwyT7iuUY,0,cat jumping onto the door,cat
DEvM7I34_PM,0,bird walking in the middle,bird in the middle
DEvM7I34_PM,1,the second from the right bird is walking,the second from the right bird
DEvM7I34_PM,2,bird on the right walking,bird on the right
DEvM7I34_PM,3,the first bird from right is walking,the first bird from right
DG1Lh5jGHsc,0,a girl is eating spaghetti ,a girl
DGXZvChldOE,0,baby climbing stairs,baby
DH4GwWwVaoI,0,man in black shirt eating,man in black shirt
DHJnTvqrA0M,0,baby in pink climbing the stairs,baby in pink
DHO3VvTP7QQ,0,a man in white tshirt is running,a man in white tshir
DHUISVzfZkk,0,Cat is rolling on the floor,Cat
DIv-s5hGw_s,0,person in orange climbing rock,person in orange
DJEsb08_oWY,0,a black dog is running,a black dog
DKth8eyu91U,0,black cat eating ,black cat
DLjnKcX8gvo,0,the gray and white cat is running away,the gray and white cat
DLjnKcX8gvo,1,cat with gray fur chasing another cat,cat with gray fur
DOQBeXkdfcw,0,Woman is staple running on the athletic track,Woman
DPDp-tKx00c,0,woman in black walking in the back,woman in black
DPDp-tKx00c,1,The woman in pink shirt and black pants walking to the left,The woman in pink shirt and black pants
DPDp-tKx00c,2,woman jumping on the trampoline,woman 
DPDp-tKx00c,3,man in gray jacket standing on the left,man in gray jacket on the left
DPF2qOq2YxI,0,man crawling on the grass,man
DPF2qOq2YxI,1,man in uniform standing on the top left,man in uniform on the top left
DPF2qOq2YxI,2,man in green crawling on the grass,man in green
DPHyvWGuf9g,0,Cat is falling from a treadmill,Cat 
DPHyvWGuf9g,1,Cats in the front walking on a treadmill,Cats in the front 
DRUAiHWWLRQ,0,football in the back,football in the back
DRUAiHWWLRQ,1,man standing on the left,man on the left
DRUAiHWWLRQ,2,man with white tshirt and black short pants throwing a football,man with white tshirt and black short pants
DRUAiHWWLRQ,3,The ball is passed to the guy in front of the net,The ball 
DUY0k4oTmgk,0,Guy in blue shorts standing near the net,Guy in blue shorts
DUY0k4oTmgk,1,Man in gray shorts jumping over teh guy in black shorts,Man in gray short
DUY0k4oTmgk,2,woman in yellow top standing on the left,woman in yellow top on the left
DUY0k4oTmgk,3,Man in the black shorts standing near the net,Man in the black shorts=
DUY0k4oTmgk,4,girl standing on the right side of the volleyball net,girl on the right side 
DUY0k4oTmgk,5,man in yellow shorts standing near the net,man in yellow shorts 
DUn4b2VhFJI,0,the cat is climbing up,the cat 
DVIR8-jalW4,0,a black dog is running,a black dog
DVPjonpiFEo,0,dog running,dog
DVQo9PmELdg,0,dog jumping over the bar,dog
DVQo9PmELdg,1,man running on the left,man on the left
DVeTVjTJum0,0,man in red shirt eating,man in red shirt
DW2GT9cexFI,0,basketball flying into the basket,basketbal
DW2GT9cexFI,1,player in black shirt shooting a basketball on the right,player in black shirt on the right
DW2GT9cexFI,2,Guy in black shirt is passing a ball,Guy in black shirt
DWVM-m9veLo,0, baby is walking, baby
DXJtvHVWmL4,0,a baby in pink cloth is climbing up a fence,a baby in pink cloth
DXVawT9i3wA,0, green parrot is rolling, green parrot
DYAQoOxuskg,0,man dribbling a basketball,man 
DYAQoOxuskg,1,ball bounding up and down,ball 
DYYce-c5QlA,0,a man is rolling on the floor,a man
DZZ1fHU9sec,0,white cat is eating from carton box,white cat
D_8zJlAKRFQ,0,the yellow car is crashing,the yellow car
Daesvdea9VE,0,car flying over the ground,car
DayHrhoSJZc,0,dog walking next to person,dog
DayHrhoSJZc,1,Guy walking with the dog in the training room,Guy
DbOR_AtnsYI,0,dog jumping in the snow,dog
DbOR_AtnsYI,1,the man on the left is throwing a snow ball,the man on the left 
Dbo3eoNN5tc,0,bird standing in the center,bird in the center
Dbo3eoNN5tc,1,black and white bird walking,black and white bird
Dc8iHnC0G6I,0,Parrot is jumping from one finger to another,Parrot
Dcq1t71dhCI,0,bird eating something,bird
Dex8E7qAN0s,0,man in blue rolling on the floor,man in blue
DfLQmvp7-rY,0,yellow car rolling over the track,yellow car 
Dg5iCHrBYTk,0,black and white bird pecking,black and white bird 
DhqjBH3BPdU,0,gray and blue bird rolling,gray and blue bird
Di7G4nbpyDg,0,The guy in white shirt juggling a ball,The guy in white shirt
Di7G4nbpyDg,1,the ball is being dribbled by the man,the ball
Di7G4nbpyDg,2,Guy in black sports suit standing on the grass,Guy in black sports suit
DjLf4yPVAfo,0,Gray dog on the right is eating from common bowl,Gray dog on the right 
DjLf4yPVAfo,1,gray puppy eating in the middle,gray puppy in the middle
DjLf4yPVAfo,2,man walking through the cage,man
DjLf4yPVAfo,3,second baby dog on the left eating,second baby dog on the left
DjLf4yPVAfo,4,leftmost dog walking in the cage,leftmost dog
DjLf4yPVAfo,5,Gray puppy in the middle eating from the common bowl,Gray puppy in the middle
DjS59s_ZZ4E,0,white car jumping up and down,white car
DkkKlhBm2ko,0,the baby is crawling,the baby
DmH_YHKCfcc,0,Girl in white jacket and black pant running on the athletic track,Girl in white jacket and black pant
DpGTmxvRYpk,0,basketball flying into the basket,basketball 
DpGTmxvRYpk,1,man shooting a basketball,man 
DqFpx3mE9fQ,0,a black craw is following its friend,a black craw
DqFpx3mE9fQ,1,Black raven standing on the ground,Black raven
DqTJ1_C1tYc,0,a person in white jersey is jumping up,a person in white jersey
DrK2A4zVqs0,0,Guy is rolling inside the house,Guy
DsOKLpfGIzY,0,a speed dog walking on grass,a speed dog
Dt2H77DEoXs,0,a car on the left is crashing in a race,a car on the left
DuEXIGWnuK8,0,black and white dog rolling on the meadow,black and white dog
DuEXIGWnuK8,1,the person is watching a dog,the person
DuEXIGWnuK8,2,small white dog walking on the right,small white dog on the right
Dup15rVd2eU,0,Black ball is jumping on the road,Black ball
Dup15rVd2eU,1,Man on the right watching at the ball,Man on the right
Dup15rVd2eU,2,the pickup truck is parked not doing anything,the pickup truck
Dup15rVd2eU,3,a white car is parked on the right,a white car on the right
Dup15rVd2eU,4,the most right car is parked,the most right car
DwRoVY8qmxY,0,Cat is catching a ribbon,Cat
DwRoVY8qmxY,1,man playing with a cat,man
DxKogppTYio,0,blue racing car running on the road,blue racing car
DxrkBmYhTro,0,boy in purple shirt dribbling a basketball ,boy in purple shirt
DxrkBmYhTro,1,the person in the black shirt is standing,the person in the black shirt
DxrkBmYhTro,2,ball bouncing up and down,ball
DxuELS_zHm4,0,a dog is crawling,a dog
DxuELS_zHm4,1,baby crawling next to a dog,baby
Dy9Amm6SioY,0,Fuzzy dog is eating from the bowl,Fuzzy dog
Dz9IiWP-cyQ,0,parrot jumping on the table,parro
E-sInEJNZTA,0,a soldier is crawling,a soldier
E1NY2OH2UhE,0,man rolling over the mat,man
E1jncMN1kFg,0,a baby is climbing up the stairs,a baby 
E4aSYSIcNi4,0,a dog is crawling,a dog 
E6vE_32jjOY,0,Black cat quickly climbing the tree,Black cat
E7x3-DlU0v8,0,black dog rolling ,black dog 
E7x3-DlU0v8,1,the person is telling the dog to roll over,the person
E8rU-bLYM7Y,0,a bird is drinking water,a bird
E8zMBi2saJ8,0,car running on the road,car
EB1Qj5nAFQo,0,a baby is rolling,a baby
EBX6NhE-3vs,0,a bird is jumping up and down,a bird
EBrCNHPe-9c,0,cat jumping down to the couch,cat
ECBhEQSdOcI,0,a white car is jumping up and down,a white ca
ECBhEQSdOcI,1,the SUV is parked,the SUV
ECptHtHDMQA,0,man running at first,man at first
ECptHtHDMQA,1,forth runner from left running,forth runner from left 
ECptHtHDMQA,2,Guy in blue shirt and with white bandana running on the athletic track,Guy in blue shirt and with white bandana
ECptHtHDMQA,3,man in black tshirt and white short pants running at the end,man in black tshirt and white short pant at the end
ECptHtHDMQA,4,second man from right running,second man from right
ECptHtHDMQA,5,the top man is running,the top man
EDsjsHyoXMk,0,a green car is jumping up and down,a green car
EDsjsHyoXMk,1,man in all black standing behind the car,man in all black
EDsjsHyoXMk,2,a man in black is standing on the right,a man in black on the right
EDsjsHyoXMk,3,man in white shirt sitting on his knees,man in white shirt
EF8BpKGPF0w,0,man throwing a bowling ball,man 
EF8BpKGPF0w,1,bowling ball rolling on the track,bowling ball
EFMGJ5LfCZU,0,dog crouching on the sand,dog 
EFgXIYywcU4,0,a cat is climbing up the ladder,a cat
EGDW7n2aQnU,0,white cat is eating a fish,white cat 
EGNDIxcjMO0,0,a cat is running in a house,a cat
EGv45MzlFPw,0,man is holding a baby,man
EGv45MzlFPw,1,baby walking in front of a man,baby 
EHV4b6Y_Kl4,0,a green bird is jumping,a green bird
EIPtOk_ed8w,0,a brown and black dog is crawling on the grass,a brown and black dog
EKcluHlg27M,0,Guy in red green shirt walking in the middle of green field,Guy in red green shirt
EKcluHlg27M,1,Guy in yellow shirt running in the middle of the field,Guy in yellow shirt
EKcluHlg27M,2,the soccer ball is being kicked about in a game of soccer,the soccer ball
ELEb2IoCMec,0,Fuzzy dog is walking on the grass with a leash,Fuzzy dog
ELEb2IoCMec,1,woman in black pants walking with a dog,woman in black pants 
ELEb2IoCMec,2,a woman with blue skirt standing ,a woman with blue skirt
EMzB4OI5Rfo,0,car jumping up and down,car
EMzB4OI5Rfo,1,man in white top and black shorts standing behind the car,man in white top and black shorts 
EMzB4OI5Rfo,2,a person in dark on the right is standing,a person in dark on the right 
EO-piHC5CoA,0,a big red ball is moving,a big red ball 
EO-piHC5CoA,1,brown dog walking away from the ball,brown dog
EO-piHC5CoA,2,man pushing the ball forward,man
EOIsJE8wzTw,0,baby walking ,baby
EOIsJE8wzTw,1,a parent with green pant is training a child ,a parent with green pant 
EOLlB-5pGno,0,baby climbing over the fence,baby
EPsBI4R2wwI,0,a baby is walking,a baby
EQ6Occ_JppU,0,man standing in the back,man
EQ6Occ_JppU,1,the man on the ground is doing some kind of crawling exercise,the ma
EQ6Occ_JppU,2,Gray fitness ball laying in the corner,Gray fitness ball
ES34wG2zOHI,0,Ball is falling down,Ball
ESM3495FiZM,0,a white cat is walking in a treadmill,a white cat
ETCzg_toTeU,0,baby climbing stairs,baby
ETCzg_toTeU,1,a man is climbing up the stairs,a man
EUEZkwJulBY,0,parrot standing on the hand,parrot
EV_P0bagmxk,0,black dog is rolling on the grass,black dog
EV_P0bagmxk,1,a man is sitting and playing with the dog,a man 
EXPOfStElLA,0,a man with white shirt is sitting and throwing a ball,a man with white shirt
EXPOfStElLA,1,man in white top and black hat sitting on a chair,man in white top and black hat
EXPOfStElLA,2,a basketball is passing above a set of guys,a basketball 
EXXZZcy4xYo,0,White cat eating from the black cup,White cat 
EXXZZcy4xYo,1,Brownish cat walking towards the camera,Brownish cat
EZ5e_m-TYk8,0,dog is chasing a violet ball,dog
EZ5e_m-TYk8,1,a blue ball is moving,a blue ball
EZA506VkA_0,0,blue car rolling over the road,blue car
EadxBPmQvtg,0,boy in the front left passing football,boy in the front left
EadxBPmQvtg,1,a man in black is standing on the left side,a man in black on the left side
EadxBPmQvtg,10,boy with number 19 playing football,boy with number 19
EadxBPmQvtg,11,a small ball on the left,a small ball on the left
EadxBPmQvtg,2,Small boy near yellow line kicking the ball,Small boy
EadxBPmQvtg,3,boy in blue passing football in the back,boy in blue in the back
EadxBPmQvtg,4,boy with number 3 playing football,boy with number 3
EadxBPmQvtg,5,boy playing football on the top left,boy on the top left
EadxBPmQvtg,6,boy in blue shirt passing a football in the far left,boy in blue shirt in the far left
EadxBPmQvtg,7,ball passed far on the left,ball on the left
EadxBPmQvtg,8,a white ball is rolling on top,a white ball on top
EadxBPmQvtg,9,boy in blue shirt passing football in the far back,boy in blue shirt in the far back
EcaXVl4ThQ8,0,a dog is trying to catch a ball,a dog
EcaXVl4ThQ8,1,Orange ball is jumping on the grass,Orange ball 
EdgtwnlExrw,0,a yellow car is doing a trick on a road,a yellow car
Eg6obDE4juY,0,parrot climbing the curtains,parrot 
EhDtl8Ed-pI,0,Little girl dribbling two balls,Little girl
EhDtl8Ed-pI,1,a white and orange ball is jumping up and down,a white and orange ball 
EhDtl8Ed-pI,2,The ball is dribbled by a girl,The ball
EhRuG0D-WsU,0,yellow cat at the bottom walking,yellow cat at the bottom
EhRuG0D-WsU,1,the cat is sitting,the cat 
EiWDjmF4apE,0,the bird is pecking in the ground,the bird
EiWDjmF4apE,1,the bird on the right is standing,the bird on the right
Ejr9KBQzQPM,0,a man is eating a sandwich,a man 
ElzfFwC7aK4,0,Dog running on the grass,Dog 
ErKsKivJ8Ww,0,guy climbing on the blue wall,guy 
Es4mgwvvAy8,0,a cat is eating,a cat 
EtYJtvJH7cM,0,parrot climbing a small ladder,parrot
EtbKgW4b3K8,0,stork is standing in the long grass,stork 
EvoagbjUArQ,0,kid throwing a ball ,kid 
EvoagbjUArQ,1,a violet ball is flying on the air,a violet ball
Ex7rY4JKsVo,0,ball running with a boy in yellow on the right,ball on the right
Ex7rY4JKsVo,1,man in red top and black shorts walking in the back,man in red top and black shorts in the back
Ex7rY4JKsVo,2,child by the wall kicking a football,child
Ex7rY4JKsVo,3,a player in yellow is moving from bottom to top,a player in yellow
Ex7rY4JKsVo,4,boy with number 5 standing at the bottom,boy with number 5 at the bottom
Ex7rY4JKsVo,5,a basketball player is waiting in the line ,a basketball player
EySl6bC6E4E,0,The model in leopard dress walking on the podium ,The model in leopard dress 
EySl6bC6E4E,1,woman in black dress sitting in the front left,woman in black dress in the front left
EySl6bC6E4E,2,Guy in black suit sitting in the right corner,Guy in black suit in the right corner
EymTVMtZSZc,0,basketball flying into the basket,basketball
EymTVMtZSZc,1,a player is jumping and throwing a ball,a player
EymTVMtZSZc,2,basketball in the net on the bottom right,basketball on the bottom right
EymTVMtZSZc,3,basketball on the right flying into the net,basketball on the right
EzO-Qo_CeoA,0,dog crawling on the grass,dog
EzXkvol_K2g,0,basketball flying in the sky,basketball 
EzXkvol_K2g,1,the person with a white bandana is jumping,the person with a white bandana
EzXkvol_K2g,2,a basketball player with purple shirt is defending against another player with white shirt,a basketball player with purple shirt
EzXkvol_K2g,3,man in white shirt shooting a basketball on the left,man in white shirt on the left
Ezx5qeo3tVw,0,the cat is running,the cat
F12D4zPcUEA,0,the kitten is being carried by its mother,the kitten
F12D4zPcUEA,1,a white black cat is walking on the sand near the ocean ,a white black cat 
F1v5SYPpQso,0,a cat is jumping,a cat
F1v5SYPpQso,1,man in pink shirt sitting on the left,man in pink shirt on the left
F2SxH5sxVgY,0,cat rolling,cat
F5wcCnrUbvs,0,the big dog is following the little dog,the big dog 
F5wcCnrUbvs,1,Black small dog is running from another dog,Black small dog 
F64KSGjjKww,0,the cat is chasing a ball,the cat
F64KSGjjKww,1,a girl sitting in a bed and throwing a ball,a girl
F6IV_d503io,0,Ball is falling down to the floor,Ball
F6p8RoNxs84,0,a top naked man on left side is running,a top naked man on left side
F6p8RoNxs84,1,the person with the blue shoes is sprinting,the person with the blue shoes
F6p8RoNxs84,2,Guy in white shirt sprinting,Guy in white shirt
F6yfdakS54A,0,a cat is eating,a cat
F8DQGZZzd2Y,0,a bird is doing a somersault,a bird
F8uzgc6HpXw,0,Guy in blue shirt climbing the rock ,Guy in blue shirt
FAJkQ3KTGQg,0,a soldier is crawling,a soldier 
FAzYNSJjrYs,0,car jumping up and down,car 
FAzYNSJjrYs,1,a man is standing behind a car,a man
FBim3QeeQZE,0,man in red top kicking the football,man in red top 
FBim3QeeQZE,1,football running in front of a man,football 
FE7FjbMaazI,0,dog with black ear and mouth eating corn,dog with black ear and mouth
FEDOdid8_W0,0,bird climbing the shutters on right ,bird on right 
FEDOdid8_W0,1,bird on the left is climbing jalousie,bird on the left
FGD0lmAkJGg,0,Boy in green shirt passing the ball several times,Boy in green shirt
FGD0lmAkJGg,1,football rolling in the back,football in the back
FGD0lmAkJGg,2,a boy in green cover is playing with a ball in the back,a boy in green coverin the back
FGD0lmAkJGg,3,Boy in the blue shirt passing a ball on the left,Boy in the blue shirt on the left
FGD0lmAkJGg,4,boy on the right kicking football,boy on the right
FGD0lmAkJGg,5,ball is rolling on the grass in front of the camera,ball
FGD0lmAkJGg,6,a boy in blue is playing with a ball in front of the camera,a boy in blue
FJpblAanou4,0,Black small cat is eating an egg,Black small cat
FJrtoyQz8pQ,0,Cat is chasing a laser mark,Cat
FKMbe-lj5W4,0,naked baby crawling on the bed,naked baby
FNbWXI3GiYU,0,baby crawling,baby 
FPCGZIGAXzE,0,a cat is eating food,a cat
FSH0Gm7czPU,0,brown dog running across the road,brown dog
FTcjzaqL0pE,0,the racoon is eating,the racoon 
FTcjzaqL0pE,1,black and white cat walking around,black and white cat
FTcjzaqL0pE,2,white cat standing on left,white cat on left
FUDQJNIU2JY,0,man crawling on the floor,man
FXhTdb0W2-k,0,a woman with blue shirt is training for pilates,a woman with blue shirt
FXhTdb0W2-k,1,huge blue ball is jumping ,huge blue ball
FY0CEt_2V5A,0,the baby is laying on a blanket,the baby
FZk40J_drws,0,man running on the sidewalk,man
F_RRhVJG6vQ,0,the dog is running,the dog
FbL_pspVU40,0,a guy in the foreground is hiking in a mountain,a guy in the foreground
FbL_pspVU40,1,man standing by the river,man
FbVBQ6EstIc,0,blue ball jumping up and down,blue ball
FbVBQ6EstIc,1,player juggling a football,player
FbbaAhQQhDU,0,baby crawling on the floor,baby
Fbqh4YJan_k,0,Small black water is drinking a water from the dish,Small black water
FcBu6kj1htU,0,Car jumping,Car
FcDi57QKEW4,0,brown dog is jumping on the grass,brown dog
FcDi57QKEW4,1,brown puppy is sitting on the right,brown puppy on the right
FcHXTFfOdc0,0,cat eating,cat
FddoRFa6nYY,0,a gray and orange bird is sitting in a branch,a gray and orange bird
FddoRFa6nYY,1,a bird on the left is jumping to another branch,a bird on the left
FhK1PJ3OiUg,0,White van is running ahead of the road,White van
Fi4nS2k_svU,0,the white big ball is rolling down a hill,the white big ball
FicoGjryzvA,0,a bird is flying in the air,a bird
Fiyr91l0wao,0,the car is flying through the air,the car
Fiyr91l0wao,1,black car parking by the road,black car
Fiyr91l0wao,2,the car is parked in the background,the car in the background
Fiyr91l0wao,3,a white car is flying on the air,a white car
FlnEDpfblyU,0,the baby on the left is sitting on the stairs,the baby on the left
FlnEDpfblyU,1,the baby in blue is crawling up the stairs,the baby in blue
FmaPgB5rXAg,0,a bird on the left is walking on the sand,a bird on the left
FmaPgB5rXAg,1,the sandpiper is looking for food,the sandpiper
FmnSdasKFVQ,0,black cat running on the grass,black cat 
FmnSdasKFVQ,1,someone is walking besides a cat on grass,someone
Fmv-SIgOTJ8,0,a white and yellow cat is walking in the house,a white and yellow cat
FpcFwKsXx5w,0,the white bird is climbing stairs,the white bird
FsxzvATQO7s,0,a white car is stopping on the left,a white car on the left
FsxzvATQO7s,1,the black car is crashing,the black car
FtqgsJwG5cE,0,man throwing a bowling ball,man
FtqgsJwG5cE,1,the bowling ball is thrown,the bowling ball
FwuSrhzCuNM,0,cat is climbing the ladder,cat
FxP-V_DQcrA,0,a bird is eating food,a bird
Fxfq-aXioAc,0,cat jumping off the bed,cat
FxzH_SYgqDk,0,a white bird is jumping up and down,a white bird 
FxzH_SYgqDk,1,a white bird on the right is sitting,a white bird on the right
Fy6nsFBkOf0,0,baby crawling on the floor,bab
FyeNU96W_6I,0,a dog is rolling on the ground,a dog
FyzYW5967Dg,0,a baby is rolling on the bed ,a baby
Fz_uc5JiZbQ,0,Blue cabriolet riding on the road,Blue cabriolet
Fz_uc5JiZbQ,1,the car is pulling up to an intersection,the car
G0YSBuw3i0g,0,Big guy is eating a tacos,Big guy
G2zk_hiMoVk,0,man jumping in the air,man
G3zjFccIUUU,0,the toddler is trying to walk,the toddler
G3zjFccIUUU,1,the woman is interacting with a child,the woman 
G4nfv2WF5M0,0,a woman is playing with her white dog,a woman
G4nfv2WF5M0,1,a white dog is rolling on the floor,a white dog
G4sjYvhSBE0,0,cat climbing the ladder,cat
G5I0T9NYu54,0,the dog is playing on a trampoline,the dog 
G5Nb3elemJE,0,Huge colorful air ball jumping in the streets,Huge colorful air ball 
G6bky8UEug8,0,man in black rolling on the floor ,man in black 
G8ll4sjdYmg,0,the racing car is driving on a race track,the racing car
GBqoZYfz4os,0,Cat licking pancakes,Cat
GCb9-PKs8Gc,0,bird flying,bird 
GCgmK_J6jLg,0,Blue bird is eating seeds from the ground,Blue bird
GEDVSSjamm0,0,black bird jumping in the bush,black bird
GEP-KgJkYnw,0,Gray goose flying over the water in the middle,Gray gooser in the middle
GEP-KgJkYnw,1,bird flying highest over the water,bird
GEP-KgJkYnw,2,a bird is flying on the left,a bird on the left
GEP-KgJkYnw,3,right most bird flying above the water,right most bird
GEc2wQLYQVk,0,a red ball is moving in a bowling floor,a red ball
GEc2wQLYQVk,1,the feet of a man is walking,the feet of a man
GFGSucJ2w3U,0,owl flying over the meadow ,owl 
GHpTePiVIc0,0,bird jumping on the trunk of a tree,bird
GIPGVq61lTk,0,dog running on the floor,dog
GJXC8Mo_ASQ,0,the dog is walking,the dog
GJXC8Mo_ASQ,1,woman standing on the right,woman on the right
GJoCmtiBGRI,0,White black cat climbing over fence,White black cat
GJxqkwTb5LA,0,bird on the left standing,bird on the left
GJxqkwTb5LA,1,bird in the center eating a fish,bird in the center
GJxqkwTb5LA,2,Albatross is walking near the water,Albatross
GNlQiBz3fgs,0,man in gray shirt eating,man in gray shirt
GOhC4METbBo,0,the man is crawling down some stairs,the man
GPyvGjuykSM,0,a car is rolling,a car
GQI68kb9e7U,0,a dog is standing on the back,a dog on the back
GQI68kb9e7U,1,cat running in the room,cat
GQYbAvuszzQ,0,woman in black jumping up and down,woman in black
GQYbAvuszzQ,1,white car parking in the back,white car in the back
GQYbAvuszzQ,2,gray car standing in the back,gray car in the back
GRiFTTBx17w,0, cat is climbing up a slide, cat 
GRiFTTBx17w,1,Woman in pink is standing near the slide,Woman in pink
GRmtHzIiU6g,0,red parrot rolling,red parrot 
GSvvp4mO7Qs,0,woman jumping over the bar,woman
GSvvp4mO7Qs,1,Bald guy in gray standing near the pillars,Bald guy in gray
GTX7TJJyvFM,0,cat running on the floor,cat
GVD0Qd9fLxI,0,wavy parrot is climbing a rope,wavy parrot
GWwDOtxf8Go,0,a dog is eating a carrot,a dog 
GX7fs2v19ZY,0,a silver car is parked,a silver car
GX7fs2v19ZY,1,a red truck racing on dirt road,a red truck
GY3K853ygdA,0,White dog is running towards the camera,White dog 
GYdxk_Ob3y8,0,Small boy trying to walk with the help of his mother,Small boy
GYdxk_Ob3y8,1,Woman is supporting a baby,Woman
GZBen0C4JOU,0,Man is crawling slowly outside of the house,Man
GZBen0C4JOU,1, dog is sitting on the right, dog on the right
GZPlz56w55k,0,baby walking to the toy ball,baby
GZPlz56w55k,1,green ball rolling in the hand of the woman,green ball 
G_CZQVK3Pwk,0,cat rolling on the floor,cat 
G_d2QMCW0zg,0,the car is rolling over,the car 
G_d2QMCW0zg,1,man in a white hat standing by the road,man in a white hat 
G_d2QMCW0zg,2,Guy in white suit standing on the right from another guy in white suit,Guy in white suit on the right 
G_d2QMCW0zg,3,Man in white clothes on the right standing,Man in white clothes on the right
GaGvZd1laeI,0,a dog is running,a dog 
GaUQUBvMzRo,0,a white bird is moving through a hand,a white bird
GbjEDJ2bE1w,0,White cat is walking a pathway,White cat 
Gc64cQAbz8U,0,red car is riding in the front of the camera,red car
Gc8PVFQXL68,0,second from top person in black is running ,second from top person in black 
Gc8PVFQXL68,1,man in yellow top walking past the bleachers,man in yellow top 
Gd6IxYMB_g0,0,black cat walking,black cat
Gd6IxYMB_g0,1,a black cat is jumping over the wall,a black cat 
Ge1lpefsIjQ,0,cat eating next to the window,cat
GeGK63LPEUs,0,racing car running at first,racing car
GeGK63LPEUs,1,a white racing car in the middle of other cars appear to be following the lead ,a white racing car in the middle of other cars
GeGK63LPEUs,2,car with lights on the right turning round,car with lights on the right
GeGK63LPEUs,3,a car with flashing lights is driving in a race,a car with flashing lights
GeGK63LPEUs,4,White car at the back running and making a turn,White car at the back
GeYmDOzoibk,0,car flipping over the road,car 
GhazluWbG2E,0,a dark cat is jumping,a dark cat
Gje2vm6pe7U,0,a cat is jumping up a wall,a cat
GljOmmsscTc,0,woman in purple eating on the left,woman in purple on the left
GljOmmsscTc,1,a man in pink shirt is eating oranges,a man in pink shirt
GljOmmsscTc,2,a man in white shirt is walking,a man in white shirt
GljOmmsscTc,3,woman with short hair eating ,woman with short hair
GnZSTkycovg,0,a white car on the middle is parked,a white car on the middle
GnZSTkycovg,1,the black dog is running with a ball in its mouth,the black dog
GnZSTkycovg,2,football running with a dog,football
Go6b8Dp1SRo,0,bird flying in the sky,bird
GpzTYsif-AQ,0,man crawling,man
Gs_ViAd-Cgg,0,bird running on the grass,bird 
Gs_ViAd-Cgg,1,man in green top walking to the bird,man in green top
Gs_ViAd-Cgg,2,a guy in green uniform is watching a bird of a very different species,a guy in green uniform
Gw2BqNilzWk,0,a colorful bird is climbing up the fence,a colorful bird
GwMmqd07TnE,0,a boy is throwing a ball to the basket,a boy
GwMmqd07TnE,1,the ball is being thrown at a basketball hoop,the ball 
GxcQTYlL6TQ,0,a bird is flying,a bird 
GxcQTYlL6TQ,1,Bird flying just above the sea,Bird 
GxfLe6LEvgI,0,a white dog is crawling,a white dog
GyKu01tQVDY,0,baby climbing onto the chair,baby
Gz-ZKY0b_60,0,bird wavy bird is climbing a cage,bird wavy bird
Gz_RjhHRJCw,0,a cat is running in the snow,a cat
H0MjkAHV1ww,0,a big dark dog on top is walking,a big dark dog on top
H0MjkAHV1ww,1,a small black dog on top near a white dog is walking,a small black dog on top 
H0MjkAHV1ww,2,yellow dog walking on the left,yellow dog on the left
H0MjkAHV1ww,3,a small black dog is walking on the left with its friends,a small black dog on the left
H0MjkAHV1ww,4,white brown dog is walking in the group of other dogs,white brown dog
H0MjkAHV1ww,5,the white dog is being walked,the white dog
H0MjkAHV1ww,6,a small black dog is walking on the back,a small black dog on the back
H0MjkAHV1ww,7,people walking in front of dogs,people
H1xN08TabmA,0,bowling ball rolling on the track,bowling ball 
H1xN08TabmA,1,man throwing a bowling ball,man
H2UISW3DAe4,0,White dog is running on the beach,White dog
H5U20UJ8Das,0,a person is climbing up,a person
H5f125Xw3qM,0,Hawk is eating a meat from the hand,Hawk 
H5kBccDMYGk,0,a white car is jumping a ramp,a white car
H7yKYHyJzzI,0,a black cat is following a small ball,a black cat
